Province,Gender,Age,Income,Value
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $50,000 and over (5)",19580
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $75,000 and over (5)",11780
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $100,000 and over (5)",6540
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $150,000 and over (5)",2060
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $200,000 and over (5)",850
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $250,000 and over (5)",470
Newfoundland and Labrador,Males,55 to 64 years (4),Total persons with income (5),39150
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income under $5,000 (5)",1170
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $5,000 and over (5)",37990
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $10,000 and over (5)",35890
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $15,000 and over (5)",32960
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $20,000 and over (5)",31060
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $25,000 and over (5)",28900
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $35,000 and over (5)",23510
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $50,000 and over (5)",15730
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $75,000 and over (5)",8470
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $100,000 and over (5)",4950
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $150,000 and over (5)",1640
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $200,000 and over (5)",750
Newfoundland and Labrador,Males,55 to 64 years (4),"Persons with income of $250,000 and over (5)",440
Newfoundland and Labrador,Males,65 years and over,Total persons with income (5),39870
Newfoundland and Labrador,Males,65 years and over,"Persons with income under $5,000 (5)",110
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $5,000 and over (5)",39770
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $10,000 and over (5)",39400
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $15,000 and over (5)",36180
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $20,000 and over (5)",24870
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $25,000 and over (5)",18990
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $35,000 and over (5)",12380
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $50,000 and over (5)",6210
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $75,000 and over (5)",2360
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $100,000 and over (5)",1250
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $150,000 and over (5)",580
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $200,000 and over (5)",310
Newfoundland and Labrador,Males,65 years and over,"Persons with income of $250,000 and over (5)",190
Newfoundland and Labrador,Females,"All age groups (4,10)",Total persons with income (5),213380
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income under $5,000 (5)",17030
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $5,000 and over (5)",196350
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $10,000 and over (5)",177280
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $15,000 and over (5)",151000
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $20,000 and over (5)",120520
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $25,000 and over (5)",96620
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $35,000 and over (5)",65310
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $50,000 and over (5)",35660
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $75,000 and over (5)",15650
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $100,000 and over (5)",4780
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $150,000 and over (5)",1250
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $200,000 and over (5)",590
Newfoundland and Labrador,Females,"All age groups (4,10)","Persons with income of $250,000 and over (5)",360
Newfoundland and Labrador,Females,"0 to 24 years (4,10)",Total persons with income (5),22120
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",5010
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",17120
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",12320
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",8580
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",5550
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",3440
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",1500
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",490
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",110
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",30
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Newfoundland and Labrador,Females,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Newfoundland and Labrador,Females,25 to 34 years (4),Total persons with income (5),30220
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income under $5,000 (5)",1950
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $5,000 and over (5)",28270
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $10,000 and over (5)",26340
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $15,000 and over (5)",24190
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $20,000 and over (5)",21270
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $25,000 and over (5)",17810
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $35,000 and over (5)",11930
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $50,000 and over (5)",6570
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $75,000 and over (5)",2290
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $100,000 and over (5)",530
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $150,000 and over (5)",100
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $200,000 and over (5)",40
Newfoundland and Labrador,Females,25 to 34 years (4),"Persons with income of $250,000 and over (5)",20
Newfoundland and Labrador,Females,35 to 44 years (4),Total persons with income (5),35330
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income under $5,000 (5)",2490
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $5,000 and over (5)",32840
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $10,000 and over (5)",30950
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $15,000 and over (5)",28670
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $20,000 and over (5)",25580
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $25,000 and over (5)",22130
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $35,000 and over (5)",16260
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $50,000 and over (5)",9700
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $75,000 and over (5)",4630
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $100,000 and over (5)",1260
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $150,000 and over (5)",330
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $200,000 and over (5)",160
Newfoundland and Labrador,Females,35 to 44 years (4),"Persons with income of $250,000 and over (5)",100
Newfoundland and Labrador,Females,45 to 54 years (4),Total persons with income (5),40290
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income under $5,000 (5)",2620
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $5,000 and over (5)",37670
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $10,000 and over (5)",35410
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $15,000 and over (5)",31980
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $20,000 and over (5)",28240
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $25,000 and over (5)",24020
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $35,000 and over (5)",17690
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $50,000 and over (5)",10650
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $75,000 and over (5)",5400
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $100,000 and over (5)",1560
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $150,000 and over (5)",390
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $200,000 and over (5)",170
Newfoundland and Labrador,Females,45 to 54 years (4),"Persons with income of $250,000 and over (5)",100
Newfoundland and Labrador,Females,55 to 64 years (4),Total persons with income (5),39240
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income under $5,000 (5)",4670
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $5,000 and over (5)",34570
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $10,000 and over (5)",30500
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $15,000 and over (5)",26030
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $20,000 and over (5)",21960
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $25,000 and over (5)",18160
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $35,000 and over (5)",12140
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $50,000 and over (5)",6010
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $75,000 and over (5)",2530
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $100,000 and over (5)",1050
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $150,000 and over (5)",300
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $200,000 and over (5)",150
Newfoundland and Labrador,Females,55 to 64 years (4),"Persons with income of $250,000 and over (5)",100
Newfoundland and Labrador,Females,65 years and over,Total persons with income (5),46180
Newfoundland and Labrador,Females,65 years and over,"Persons with income under $5,000 (5)",300
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $5,000 and over (5)",45880
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $10,000 and over (5)",41760
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $15,000 and over (5)",31550
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $20,000 and over (5)",17920
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $25,000 and over (5)",11060
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $35,000 and over (5)",5790
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $50,000 and over (5)",2250
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $75,000 and over (5)",700
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $100,000 and over (5)",350
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $150,000 and over (5)",140
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $200,000 and over (5)",70
Newfoundland and Labrador,Females,65 years and over,"Persons with income of $250,000 and over (5)",40
Prince Edward Island,Both sexes,"All age groups (4,10)",Total persons with income (5),110150
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income under $5,000 (5)",6530
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $5,000 and over (5)",103630
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $10,000 and over (5)",95730
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $15,000 and over (5)",86220
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $20,000 and over (5)",73880
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $25,000 and over (5)",63430
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $35,000 and over (5)",45060
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $50,000 and over (5)",24590
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $75,000 and over (5)",8850
